,name,origin,rating,roaster,aroma,acid,body,flavor,aftertaste,desc_1,desc_2,desc_3,label
10,Thiriku AA Kenya,Central Kenya,95,PT's Coffee Roasting,9.0,9.0,9.0,9.0,9.0,"Intense; deep, spice-complicated sweetness. Black currant, baker’s chocolate, peppercorn medley, black sage, a hint of lush lily in aroma and cup. Balanced and lively in structure: sweetly tart with a savory edge. Plush, silky mouthfeel. Chocolate moves forward in a resonant, long, lively finish.","Produced by the Thiriku Coffee Growers Cooperative Society from trees of the SL-28, SL-34 and Ruiru varieties of Arabica. Processed by a particularly meticulous Kenya variation on the traditional wet or “washed” method, in which skin and fruit flesh are removed from the beans or seeds before they are dried. AA is the highest grade of Kenya coffee based on bean size and freedom from imperfections. Roasted at PT’s Coffee, where the motto is “without the love, it’s just coffee.” Visit www.ptscoffee.com or call 888-678-5282 for more information.","Mysterious and extraordinary in the Kenya style: simultaneously sweet, savory, tart and entirely and grandly vibrant.","9.0,9.0,9.0,9.0,9.0"
11,Ethiopia Natural Yirgacheffe Tore,"Tore Village, Yirgacheffe growing region, southern Ethiopia",93,Kakalove Cafe,9.0,8.0,9.0,9.0,8.0,"Deeply crisp, lushly floral. Rose, almond, dark chocolate, lime zest, peppermint in aroma and cup. Tartly sweet with a clear savory edge in structure; plump, juicy mouthfeel. Finish is complex and resonant in the short, consolidating around a fading lime and mint in the long. ","Southern Ethiopia coffees like this one are produced from distinctive traditional Ethiopian varieties of Arabica long grown in the region. Like virtually all southern Ethiopia coffees, this coffee is produced by villagers on small garden plots interplanted with food and other subsistence crops. Processed by the dry or “natural” method, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed or ""washed"" coffees. Kakalove Café is a nano-roaster located in the small city of Chia-Yi in Taiwan that strives to procure and roast the finest quality coffee. Visit www.kakalovecafe.com.tw or email [email protected] for more information","An intense cup, zesty but juicy, alive with rose-like flowers, mint and lime.","9.0,8.0,9.0,9.0,8.0"
12,Direct Fair Trade Espresso,Africa; South America,92,Level Ground Trading,9.0,0.0,8.0,8.0,8.0,"Evaluated as espresso. Intrigungly complex, balanced. Dark chocolate, molasses, cedar, narcissus, date in aroma and small cup. Satiny-smooth body; sweetly cocoa-toned finish. In three parts milk, floral and cocoa tones lead in the short, while hints of rich date resurface in the long.","Coffees in this blend are all fully wet-processed or “washed” and certified organically grown in both Canada and the U.S. Since 1997, Level Ground Trading has been an importer and roaster based in Victoria, Canada, focused on direct trade with small-scale producers in developing countries and on marketing their products throughout North America. Visit www.levelground.com or call 888-565-6633 for more information.",A solid espresso blend equally pleasing as a straight shot and in milk.,"9.0,0.0,8.0,8.0,8.0"
13,Decaf Ethiopia Sidamo,"Sidama (also Sidamo) growing region, southern Ethiopia",90,Old Soul Co.,8.0,8.0,7.0,9.0,8.0,"Surprising and melodic, delicate yet vivid. Lilac and lemon blossom, fresh sweet grass, honey, moist pipe tobacco, fresh-cut elm in aroma and cup. In structure subtly and sweetly tart. Very light, silky mouthfeel. Unexpectedly rich and flavor-saturated in the finish: pipe tobacco, honey, lemon blossom.","Southern Ethiopia coffees like this one are produced from distinctive traditional Ethiopian varieties of Arabica long grown in the region. This is a dry-processed or “natural” version, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed or “washed” coffees.  Decaffeinated at the Descamex plant in Mexico by the “Mountain Water Process” which does not involve use of solvents. Old Soul is a roastery, bakery and crafter of artisanal goods dedicated to quality in every form. Visit www.oldsoulco.com or call 916-443-7685 for more information.","This very light-roasted decaffeinated coffee may suggest a fine, complex Chinese black tea in some respects, though it ultimately enforces its coffee identity with its tart structure and light-footed authority. Oddly idiosyncratic in its aromatics, but quite free of the disturbing wood notes characteristic of many decaffeinated coffees.","8.0,8.0,7.0,9.0,8.0"
14,“Flowery” Espresso Blend,Not disclosed,90,A.R.C.,8.0,0.0,8.0,9.0,7.0,"Evaluated as espresso. Sweetly and richly tart. Graham cracker, lemon zest, hazelnut, pomegranate, clover flower in aroma and small cup. Satiny mouthfeel; gently drying, resonant finish centered around hazelnut and lemon zest. In three parts milk, the sweet-tartness of the cup carries into the chocolate-toned long finish.","A.R.C., whose motto is “more than specialty,” rigorously controls three vital elements: sourcing of green coffee, roasting, and, in cafe environments, water quality for brewed coffee. For more information, visit http://www.arc.coffee/en/index.html","An accessible, sweetly tart espresso blend, citrusy in the straight shot and chocolate-toned in milk.","8.0,0.0,8.0,9.0,7.0"
15,“Chocolate” Espresso Blend,Not disclosed,89,A.R.C.,8.0,0.0,8.0,8.0,8.0,"Evaluated as espresso. Richly sweet-tart, wood-framed. Dark chocolate, tangerine zest, fir, hazelnut, a hint of flowers in aroma and small cup. Dense in mouthfeel; bittersweet chocolate dominates in finish. The chocolate reappears in three-parts milk, though its sweetness is limited by a bitterish, wood-toned edge. ","A.R.C., whose motto is “more than specialty,” rigorously controls three vital elements: sourcing of green coffee, roasting, and, in cafe environments, water quality for brewed coffee. For more information, visit http://www.arc.coffee/en/index.html.",Chocolaty but rather austere and bittersweet blend.,"8.0,0.0,8.0,8.0,8.0"
16,“Nutty” Espresso Blend,Not disclosed,88,A.R.C.,7.0,0.0,8.0,8.0,7.0,"Evaluated as espresso. Fir, almond, baker’s chocolate, white peppercorn, molasses in aroma and small cup. Satiny though slightly lean mouthfeel. Almond and chocolate dominate in a drying finish. Three parts milk sweetens the nut and chocolate, though the finish remains dry.  ","A.R.C., whose motto is “more than specialty,” rigorously controls three vital elements: sourcing of green coffee, roasting, and, in cafe environments, water quality for brewed coffee. For more information, visit http://www.arc.coffee/en/index.html.","Nut and chocolate dominate in this crisp, briskly dry espresso blend.","7.0,0.0,8.0,8.0,7.0"
17,Ethiopia Yirgacheffe Washed G1,"Yirgacheffe growing region, southern Ethiopia",92,A.R.C.,8.0,8.0,9.0,9.0,8.0,"Delicate, gently tart, spice-toned. Pomegranate, cocoa powder, lemon blossom, white peppercorn, hazelnut in aroma and cup. Lively, quietly complex structure; crisp, buoyant mouthfeel. The finish leads with gently drying notes of hazelnut and white peppercorn in the short and segues to cocoa-toned citrus blossoms in the long. ","Produced in Yirgacheffe, a coffee region in southern Ethiopia that produces particularly distinctive coffees from traditional varieties of Arabica long grown in the region. Yirgacheffe coffees like this one processed by the wet or washed method (fruit skin and pulp are removed before drying) typically express great aromatic complexity and intensity. Like virtually all Yirgacheffe coffees, this coffee is produced by villagers on small garden plots interplanted with food and other subsistence crops. A.R.C., whose motto is “more than specialty,” rigorously controls three vital elements: sourcing of green coffee, roasting, and, in cafe environments, water quality for brewed coffee. For more information, visit http://www.arc.coffee/en/index.html.",A cup with a fine-tea-like appeal in its subtle complexity and spice-toned presentation.,"8.0,8.0,9.0,9.0,8.0"
18,“Blue Mountain Flavor” Blend,Not disclosed,92,A.R.C.,9.0,8.0,8.0,9.0,8.0,"Subtle, layered, sweetly tart. Blackcurrant, narcissus-like flowers, oregano, baker’s chocolate, molasses in aroma and cup. Sweet-tart in structure, with savory undertones; velvety-smooth mouthfeel. Baker’s chocolate is the throughline of the gently drying finish, with sweet floral notes in the short and blackcurrant and oregano in the long.","A.R.C., whose motto is “more than specialty,” rigorously controls three vital elements: sourcing of green coffee, roasting, and, in cafe environments, water quality for brewed coffee. For more information, visit http://www.arc.coffee/en/index.html.","A balanced, high-toned cup with attractive chocolate notes complicated by hints of sweet herbs throughout.","9.0,8.0,8.0,9.0,8.0"
19,House Blend Espresso,Not disclosed,91,A.R.C.,8.0,0.0,9.0,8.0,7.0,"Evaluated as espresso. Crisply sweet, spice-toned. Caramel apple, dark chocolate, pecan, cedar, a hint of paprika in aroma and small cup. Velvety mouthfeel; bittersweet finish with notes of dark chocolate and caramel apple in the short and paprika and pecan in the long. Cappuccino-scaled milk balances out the chocolate, fruit, nut and spice tones in pleasingly bittersweet resonance. ","A.R.C., whose motto is “more than specialty,” rigorously controls three vital elements: sourcing of green coffee, roasting, and, in cafe environments, water quality for brewed coffee. For more information, visit http://www.arc.coffee/en/index.html.","An espresso blend especially inviting in milk, where nut-toned chocolate and crisp fruit, with a hint of spice, converge.","8.0,0.0,9.0,8.0,7.0"
20,Ethiopia Yirgacheffe Natural G1,"Yirgacheffe growing region, southern Ethiopia",91,A.R.C.,9.0,8.0,8.0,9.0,7.0,"Rich, sweet-toned, balanced. Nougat, pink peppercorn, lemongrass, roasted cacao nib, tea rose in aroma and cup. Floral-toned, bittersweet structure; delicate, satiny mouthfeel. Notes of aromatic wood and spice-toned florals carry the gently drying finish.","Yirgacheffe is a coffee region in southern Ethiopia that produces distinctive coffees from traditional varieties of Arabica long grown in the region. This is a “natural” or dry-processed version, meaning the beans were dried inside the fruit, encouraging a flavor profile that is less predictable and deeper than the more familiar wet-processed floral- and citrus-toned Yirgacheffe profile. Like virtually all southern Ethiopia coffees, this coffee is produced by villagers on small, garden plots interplanted with food and other subsistence crops. A.R.C., whose motto is “more than specialty,” rigorously controls three vital elements: sourcing of green coffee, roasting, and, in cafe environments, water quality for brewed coffee. For more information, visit http://www.arc.coffee/en/index.html",A crisply bittersweet cup that leads with spicy florals and sweet herb notes.,"9.0,8.0,8.0,9.0,7.0"
21,“Fruity” Espresso Blend,Ethiopia; Kenya; China,95,A.R.C.,9.0,0.0,9.0,9.0,9.0,"Evaluated as espresso. Subtle and enveloping, richly sweet-toned. Jasmine, roasted cacao nib, passionfruit, sandalwood, nougat in aroma and small cup.  Delicate, silky mouthfeel; cocoa- and sandalwood-toned finish with notes of passionfruit carrying into the long. In three parts milk, passionfruit and jasmine harmonize with cocoa and a pleasing aromatic wood.","An espresso blend comprised of coffees from Ethiopia, Kenya and the Yunnan Province of China. A.R.C., whose motto is “more than specialty,” rigorously controls three vital elements: sourcing of green coffee, roasting, and, in cafe environments, water quality for brewed coffee. For more information, visit http://www.arc.coffee/en/index.html.","Rich, sweet, elegant and cocoa-laden, this espresso blend is nougat-like in the straight shot and fruit- and floral-toned in milk.","9.0,0.0,9.0,9.0,9.0"
22,Decaf Colombia Select,Colombia,87,Bootstrap Coffee Roasters,7.0,7.0,8.0,8.0,7.0,"Sweet, delicate, floral and wood-toned. Fresh-cut fir, demerara sugar, orange zest, faint rose-like flowers in aroma and cup. Gently bittersweet structure; very lightly syrupy mouthfeel. Flavor consolidates but persists in a round, sweet-toned finish.","Produced from trees of the Caturra and Castillo varieties of Arabica and decaffeinated at origin using ethyl acetate, a natural solvent derived from sugar cane. Bootstrap is the definition of a quality dedicated nano-roaster, with every bag carefully prepared by the roaster himself. Visit www.bootstrapcoffeeroasters.com for more information.","Those who value a gently zesty sweetness should enjoy this delicate decaf cup. Easy on the palate, easy on the nervous system.","7.0,7.0,8.0,8.0,7.0"
23,Ethiopia Awassa,"Yirgacheffe, Ethiopia; Sidamo (also Sidama), Ethiopia",93,Paradise Roasters,9.0,8.0,9.0,9.0,8.0,"Crisply sweet, multi-faceted. Candied violet, dark chocolate, pungent juniper wood, grapefruit zest, mango in aroma and cup. Sweetly tart structure with juicy acidity; satiny mouthfeel. The resonant finish centers around mango and violet in the short and dark chocolate in the long, with a hint of aromatic wood.","Southern Ethiopia coffees like this one are produced from distinctive traditional Ethiopian varieties of Arabica long grown in the region. Like virtually all southern Ethiopia coffees, this coffee is produced by villagers on small garden plots interplanted with food and other subsistence crops. Processed by the wet or washed method (fruit skin and pulp are removed before drying). Paradise Roasters specializes in micro-lot Arabica and Robusta coffees from Asia and other emerging origins. The company prides itself on quality and freshness, craft-roasting coffees in small batches only after orders are placed. Visit www.paradiseroasters.com or call 763-433-0626 for more information.","An engaging, confident Ethiopia cup with layered intrigue: flowers, fruit, aromatic wood.","9.0,8.0,9.0,9.0,8.0"
24,The Knight Dark Roast,Indonesia; Central and South America,89,Glory Brew,8.0,7.0,9.0,8.0,7.0,"(As brewed in a Keurig 2.0 K500 Series single-serve brewing device at a 6-ounce serving size.) Richly sweet, caramel-toned. Cocoa powder, caramel, oak, date, freesia in aroma and cup. Soft, round structure with mild acidity; very satiny, viscous mouthfeel. The caramel-toned finish centers around cocoa notes with spicy florals peeking through. ",A blend of coffees from Indonesia and Central and South America. Glory Brew is a brand of 100% compostable Keurig-compatible pods. Rainforest Alliance certified. Visit www.gourmesso.com for more information.,"A solid K-cup blend with a caramel throughline: rich, sweet and round with hints of spicy flowers throughout.","8.0,7.0,9.0,8.0,7.0"
25,100% Kona SL-28,"Holualoa, North Kona growing district, “Big Island” of Hawaii",97,Hula Daddy Kona Coffee,10.0,9.0,9.0,10.0,9.0,"Spectacularly sweet and hugely aromatic. Meyer lemon marmalade, cedar, pistachio, guava, jasmine in aroma and cup. Crisply sweet/tart and massively juicy in structure; plush, buoyant mouthfeel. The juicy structure and complex aromatics persist in a long, lingering finish.   ","This exceptional coffee was selected as the No. 2 coffee on Coffee Review’s list of the Top 30 Coffees of 2017.  Hula Daddy is a boutique coffee producer with farms at the 1,400 and 2,500 foot levels of the Mount Hualalai volcano near the northern end of the Kona growing district, five minutes above the town of Kailua-Kona. This coffee was produced entirely from trees of the distinguished SL-28 variety of Arabica, the most celebrated of the Bourbon-derived tree varieties responsible for Kenya’s finest coffees. This SL-28 was grown at the higher elevation Hula Daddy farm and processed with the ferment step conducted “dry” (no water added to the tank) using a commercial yeast. It is a limited edition coffee only available for sale through the allocation list on the Hula Daddy website. Visit www.huladaddy.com or call 888-553-2339 for more information.",Coffee simply doesn’t get much better than this. Transcendently classic.,"10.0,9.0,9.0,10.0,9.0"
26,Kenya Kirinyaga Mukangu AB,"Kirinyaga District, south-central Kenya",95,Kakalove Cafe,9.0,9.0,9.0,9.0,9.0,"Crisply sweet-savory. Lavender, roasted cacao nib, strawberry guava, hazelnut, toasted barley in aroma and cup. Sweetly floral structure with savory undertones; crisp, velvety mouthfeel. The cocoa-toned finish leads with spicy florals and tropical fruit in the short, grounded by pleasing notes of toasted barley in the long.","Produced from trees of the admired SL-28 and SL-34. Despite grower discontent and urban encroachment on prime coffee lands, Kenya continues to produce some of the world’s most elegant and distinctive coffees. Kakalove Café is a nano-roaster located in the small city of Chia-Yi in Taiwan that strives to procure and roast the finest quality coffee. Visit www.kakalovecafe.com.tw or email [email protected] for more information.","A Kenya that covers all the bases: sweet-tart fruit, savory depth, spicy florals and cocoa.","9.0,9.0,9.0,9.0,9.0"
27,Kenya Nyeri Othaya Gatugi Red Cherry Project AA,"Nyeri growing region, south-central Kenya",92,Jackrabbit Java,9.0,8.0,8.0,9.0,8.0,"Sweetly pungent, gently roasty. Scorched cedar, dark chocolate, plum, lavender, lime zest in aroma and cup. Complex in structure: sweetly tart with a roasty, savory depth. Light, satiny mouthfeel. Lemon zest, dark chocolate, plum carry into a rich though drying finish.","Despite grower discontent and urban encroachment on prime coffee lands, Kenya continues to produce some of the world’s most elegant and distinctive coffees. This coffee is the result of a partnership between the Othaya and Aguthi Cooperatives and Royal Coffee, intended to create a methodology for isolating and enhancing the highest quality coffees coming from these cooperatives. Produced from trees of the SL28, SL34, Ruiru 11 and Batian varieties of Arabica. AA is the highest grade of Kenya coffee based on bean size and freedom from physical imperfections. Jackrabbit Java selects the finest coffees from around the world and roasts them in Thermopolis, Wyoming’s mountain air. All Jackrabbit Java coffees are specialty-grade and roasted to order. Visit www.jackrabbitjava.com for more information.",A darker roast develops a savory-toned chocolate to complement a zesty citrus in this pleasingly contradictory Kenya.,"9.0,8.0,8.0,9.0,8.0"
28,Ethiopia Washed Yirgacheffe Adado,"Yirgacheffe growing region, southern Ethiopia",95,Kakalove Cafe,9.0,9.0,9.0,9.0,9.0,"Elegant, deep, sweetly savory. Jasmine, sandalwood, plum, nutella-like nut and cocoa, tangerine zest in aroma and cup. High-toned, balanced structure with citrusy acidity; syrupy-smooth mouthfeel. The finish is long, resonant and flavor-saturated, carrying through on the promise of the cup.","Southern Ethiopia coffees like this one are produced from distinctive traditional Ethiopian varieties of Arabica long grown in the region. Like virtually all southern Ethiopia coffees, this coffee is produced by villagers on small garden plots interplanted with food and other subsistence crops. Processed by the wet or washed method (fruit skin and pulp are removed before drying). Kakalove Café is a nano-roaster located in the small city of Chia-Yi in Taiwan that strives to procure and roast the finest quality coffee. Visit www.kakalovecafe.com.tw or email [email protected] for more information.","A bright, lively, juicy washed Yirgacheffe coffee: classic in structure and style.","9.0,9.0,9.0,9.0,9.0"
29,Outbound Espresso,"Mexico, Ethiopia, Brazil",93,Propeller Coffee,9.0,0.0,8.0,9.0,8.0,"Evaluated as espresso. Balanced, deeply and sweetly pungent. Honeysuckle, cashew, baker’s chocolate, cedar, caramel in aroma and small cup. Satiny mouthfeel; crisp, resonant finish that leads with baker’s chocolate in the short, rounding to nut-toned florals in the long. In three-parts milk, full and expressive of cashew butter, baker’s chocolate and honeysuckle. ","A blend of coffees from Mexico, Ethiopia and Brazil. Propeller is a Toronto-based micro-roaster with a dedication to careful selection and exceptional craft roasting of high-end coffees. Visit www.propellercoffee.com or call 416-479-3771 for more information.","An espresso blend that offers both high-toned florals and low-toned nut and chocolate notes, integrated by a consistent caramel throughline.","9.0,0.0,8.0,9.0,8.0"
